finding_id,rule,severity,confidence,status,location,summary,observed_evidence,why_it_matters,required_verification,recommended_remediation,acceptance_test
F-R01,CON-001,HIGH,HIGH,OPEN,"paper/main_APIN.tex abstract L140-146; training parity L1459-1469; appendix L2465-2486; results/tables/gkt_epoch_ablation.tex; training_parity.tex; q1_gkt_epochs30_ablation.tex caption","simpleKT reference epoch conflicts (10 vs 30) across prose and tables","Prose/abstract/S22 text: simpleKT at 10 epochs batch 64. Table S21 row: simpleKT reference Epochs=30 Batch=64 AUC=0.875. Q1 caption: simpleKT 30 epochs from cache when available. Table S15: simpleKT primary Epochs=30.","Changes interpretation of residual GKT gap and whether ablation holds the reference fixed","Trace Phase-3 trio configs and S21/S22 scripts to the exact simpleKT checkpoint epoch used for each delta","Pick one canonical reference protocol; align abstract macros captions S15 S21 S22; regenerate tables if numbers change","All mentions of simpleKT reference epochs agree; deltas regenerate or are shown unchanged under documented protocol"
F-R02,CON-001,HIGH,MEDIUM,OPEN,"abstract L131-133; results/tables/ddr_downstream.tex caption; ddr_downstream_gkt.tex caption; results/figures/fig_ddr_downstream.pdf","DDR Pearson r framing inconsistent across captions and figure annotation","GKT table: r=0.93 on p<=0.3 core and 0.99 with anchors. ddr_downstream caption: xes3g5m/gkt r=0.99 rho=0.93. Figure text layer: pooled Pearson r=0.75 (p=2.1e-34).","Readers cannot tell which correlation underpins the headline claim","Recompute correlations on ddr_downstream.csv for declared subsets; align captions and figure annotation","One subset definition; one r/rho pair per claim; figure annotation matches caption","Headline r values match recomputed subset stats and figure label"
F-R03,CON-001,MEDIUM,HIGH,OPEN,"paper/main_APIN.tex L460 vs results/tables/graph_ablation.tex","AUC/ACC bound overstates ACC stability","L460: at most 0.003 AUC/ACC. Table: max |dAUC|=0.003 but max |dACC|=0.008 on Junyi.","Overclaim on accuracy metric","Confirm ACC column in full ablation tables","Change L460 to AUC-only or report 0.008 ACC bound","Contribution sentence matches ablation table extrema"
F-R04,FIG-002,MEDIUM,MEDIUM,OPEN,"paper/main_APIN.tex L2354-2358; fig_ddr_downstream.pdf","Figure S3 caption vs burned-in pooled r=0.75","Caption: DGEKT sensitivity ASSIST+XES. Figure annotation: pooled Pearson r=0.75 for graph-KT accuracy change.","Misleading visual statistic vs narrative GKT r~0.93/0.99","Identify which runs are plotted; update caption or regenerate figure","Caption states model set and r definition matching annotation","Caption and figure statistic agree; no silent pooled r"
F-R05,MTH-002,MEDIUM,MEDIUM,OPEN,"training parity L1444-1469; Table S15","Primary release mixes sequence 30ep with graph 10ep budgets","Disclosed as partial parity; F-R01 weakens ablation isolation claim","Baseline fairness for ranking claims","Document exact budgets in one table and keep ranking language observational","Keep disclosure; fix F-R01; avoid stronger causal wording","Primary vs ablation budgets unambiguous in one place"
F-R06,REP-001,MEDIUM,HIGH,OPEN,"main_APIN.tex build notes L10-13; main_APIN.log inputs","Build path documentation mismatches working practice","Notes say place file at project root. Log compiles from paper/ and loads d:/.../p0_project/results/...","Reproducers may fail to compile","Document TEXINPUTS/include-directory or relative paths","Update build notes to actual recipe used for PDF","Clean build from documented cwd succeeds"
F-R07,AIP-001,MEDIUM,LOW,OPEN,"Declarations section","No AI-use disclosure; actual AI history NOT VERIFIED","SN policy (secondary sources): generative LLM content beyond copy-editing should be disclosed. Manuscript has no AI statement.","Venue compliance risk if generative drafting/analysis used","Author attestation of AI tools used","Add disclosure if required; else document copy-edit-only decision","Declarations match actual AI use and SN policy"
F-R08,VEN-001,MEDIUM,LOW,OPEN,"APIN submission package","Full venue checklist NOT VERIFIED","Guidelines fetch timed out; local sn-jnl template and declarations present","May miss mandatory APIN items","Download current APIN submission guidelines and checklist","Complete venue checklist against official page","All mandatory APIN items marked PASS with dated source"
F-R09,REF-001,LOW,LOW,OPEN,"refs_APIN.bib","Live DOI/metadata re-verification not performed; 5 entries lack DOI","Bib header claims 2026-06-08 verification; 5 keys without doi field; this rapid audit did not resolve DOIs","Identifier verification incomplete for this audit","Resolve DOIs via Crossref/publisher for all cited keys","Add missing DOIs or mark as no-DOI venues","REF checks PASS or explicitly waived with reason"
F-R10,STA-003,LOW,MEDIUM,OPEN,"S22 pooled nine-fold paired-t","Multiple split seeds pooled as nine folds","Pooled CI over seeds 17/42/1234 x 3 folds; dependence structure not fully justified","May overstate precision","Sensitivity: report per-seed CIs primary; pooled secondary","Clarify analysis unit in S22 caption","Caption states dependence assumption; per-seed results visible"
F-R11,CON-001,MEDIUM,HIGH,OPEN,"abstract L154-156 vs downstream_auc_injection.tex","Sequence-only baseline called unmoved under injection but table shows +0.008 AUC","Abstract: sequence-only baseline is unmoved. Table: simpleKT 0.850 -> 0.858 at 20% leak (+0.008) vs GKT +0.050 and GIKT +0.028.","Relative claim OK; absolute unmoved is false","Confirm injection table is the cited result","Softening: relatively unmoved / << graph models","Abstract wording matches table magnitudes"
