locator,file,change_type,notes
macros GKTthirty*,paper/main_APIN.tex,retired,Set to ??; overwritten by gkt_epoch_ablation_macros.tex
abstract protocol+S21+injection,paper/main_APIN.tex,rewritten,Primary budgets; cautious 0.003 sentence; simpleKT +0.008
intro primary trio,paper/main_APIN.tex,rewritten,S21 exploratory only; removed S22 pool
C2 DDR scopes,paper/main_APIN.tex,rewritten,r=0.93 n=81; r=0.99 n=99; rho=0.93
C5 + AUC/ACC bound,paper/main_APIN.tex,rewritten,Config sensitivity; split AUC/ACC bounds
§exp-baseline + training parity,paper/main_APIN.tex,rewritten,GKT batch 4; removed nine-fold claims
§exp-injection,paper/main_APIN.tex,rewritten,simpleKT +0.008 quantitative
§exp-ddr-downstream,paper/main_APIN.tex,rewritten,Scoped Pearson/Spearman
discussion/caveats/vignettes/future/conclusion,paper/main_APIN.tex,rewritten,Removed S22/epoch-matched language
limitations,paper/main_APIN.tex,rewritten,Author-required compute/config sensitivity paragraph
Fig S3 caption,paper/main_APIN.tex,rewritten,Global pooled r≈0.75 n=186
Appendix index + closing appendix,paper/main_APIN.tex,rewritten,S21 only
sec:supp-gkt-epoch / S21,paper/main_APIN.tex,restructured,New caption + role; removed S22 section
S15 generator+tex,scripts/generate_training_parity.py; results/tables/training_parity.tex,regenerated,Reads canonical protocol; Max epochs column
S21 generator+tex,scripts/generate_gkt_epoch_ablation.py; results/tables/gkt_epoch_ablation.tex,regenerated,Seed42 folds0-2 only; fail-closed
S22 pooled tex,results/tables/gkt_epoch_ablation_pooled.tex,stubbed,LEGACY not for submission input
DDR captions+scripts,results/tables/ddr_downstream*.tex; scripts/plot_ddr_downstream.py; scripts/generate_ddr_downstream_gkt_tex.py,updated,Scope labels + n
Legacy marker,results/q1/LEGACY_UNPAIRED_GKT30_ARTIFACTS.md,added,Seeds 17/1234 barred from S21 claim
canonical protocol,audit/2026-07-17-1541/canonical_training_protocol.yaml,added,Manuscript protocol source
generate_paper_artifacts.py,scripts/generate_paper_artifacts.py,wired,Calls generate_gkt_epoch_ablation.py
submission_APIN copies,paper/submission_APIN/*.tex,synced,Table copies refreshed (not full manuscript sync)
