claim_id,claim,evidence,support,notes
C-PROTO-GKT,Primary GKT max 10 epochs batch 4,AUTHOR_ATTESTATION + historical config commit 619c02cf,SERVER_ATTESTED_HISTORICAL_CONFIG,No matching log → not EXECUTION_VERIFIED
C-PROTO-SKT,simpleKT max 30 epochs batch 64,AUTHOR_ATTESTATION + historical config,SERVER_ATTESTED_HISTORICAL_CONFIG,
C-S21-DELTA,"Seed42 folds0-2 mean ΔAUC +0.003451",baseline_fold_results.csv + gkt_epochs30_s42; generator fail-closed,CONFIG_AND_ARTIFACT_SUPPORTED_SERVER_ATTESTED,Exploratory; CI includes 0; batch also changed
C-S22-REMOVED,Nine-fold pooled extension,removed from manuscript; legacy artefacts retained,N/A_REMOVED,
C-ABL-AUC,|ΔAUC|≤0.003 train-only vs full-log,graph_ablation_summary / Table graph-ablation,SUPPORTED,
C-ABL-ACC,|ΔACC|≤0.008 train-only vs full-log,same (Junyi SKT −0.008),SUPPORTED,
C-INJ-SKT,simpleKT +0.008 under 20% injection,downstream_auc_injection.tex/.csv,SUPPORTED,
C-DDR-93,Pearson r≈0.93 XES/GKT p≤0.3 n=81,ddr_downstream.csv recompute,SUPPORTED,
C-DDR-99,Pearson r≈0.99 XES/GKT full n=99,ddr_downstream.csv recompute,SUPPORTED,
C-DDR-RHO,Spearman ρ≈0.93 XES/GKT n=99,ddr_downstream.csv recompute,SUPPORTED,
C-DDR-75,Pearson r≈0.75 global n=186,Fig S3 annotation + recompute,SUPPORTED,Must not be read as XES/GKT-only
C-PARITY,Full compute-matched GKT vs simpleKT,explicitly not claimed; limitations,NOT_CLAIMED,
