finding_id,severity,status,summary,human_action
F-N02,MEDIUM,READY FOR HUMAN VERIFICATION,"Baseline Diagnostic two-subject comma splice fixed; PDF contains corrected S21 sentence.",Author re-read Baseline Diagnostic paragraph.
F-N03,MEDIUM,READY FOR HUMAN VERIFICATION,"Removed overstrong independently reviewed/verified; AI declaration now review-against-available-sources.",Author confirm AI tools/scope wording.
F-R06,HIGH,READY FOR HUMAN VERIFICATION,"Flat package regenerated; clean-room build PASS (58 pages).",Author confirm independent compile of submission_APIN_flat.
F-R07,MEDIUM,READY FOR HUMAN VERIFICATION,"AI disclosure present and softened; still needs author tool-list confirmation.",Author confirm ChatGPT+Cursor list.
F-N01,HIGH,READY FOR HUMAN VERIFICATION,"Table ?? remains resolved (Table S15 / Table 32); no regression.",Author spot-check Appendix K.
F-R01,HIGH,READY FOR HUMAN VERIFICATION,"Epoch/batch protocol claims unchanged; no regression.",Author spot-check.
F-R02,HIGH,READY FOR HUMAN VERIFICATION,"DDR scope labels; no regression.",Author spot-check.
F-R03,MEDIUM,READY FOR HUMAN VERIFICATION,"Split AUC/ACC bounds; no regression.",Author spot-check.
F-R04,MEDIUM,READY FOR HUMAN VERIFICATION,"Fig S3 global r caption; no regression.",Author spot-check.
F-R05,MEDIUM,READY FOR HUMAN VERIFICATION,"Parity terminology remains configuration disclosure; no regression.",Author spot-check.
F-R11,MEDIUM,READY FOR HUMAN VERIFICATION,"simpleKT +0.008 injection; no regression.",Author spot-check.
F-R12,HIGH,READY FOR HUMAN VERIFICATION,"Primary GKT 10/4; targeted 30/16 seed42; no regression.",Author spot-check S15/S21.
F-R05-LIMIT,MEDIUM,RETAINED AS DISCLOSED LIMITATION,"No full compute/epoch parity claimed.",Keep as limitation.
