locator,file,change_type,notes
tab:training_configurations,paper/main_APIN.tex,added/fixed,Resolves former Table ?? at Appendix K
sec:supp-training-parity title,paper/main_APIN.tex,renamed,Training-configuration disclosure
paragraph Training-configuration disclosure,paper/main_APIN.tex,rewritten,Replaces Training parity / Full epoch/batch parity
S21 caption + prose,paper/main_APIN.tex,rewritten,Cautious observed-mean wording; fold values unchanged
Abstract / C5 / Baseline / Discussion / Caveats / Limitations / Conclusion,paper/main_APIN.tex,rewritten,+0.003451 cautious language
Declaration of generative AI-assisted work,paper/main_APIN.tex,added,Before Declarations
Appendix index S15 wording,paper/main_APIN.tex,rewritten,configuration disclosure
GKTthirty macros,paper/main_APIN.tex; results/tables/gkt_epoch_ablation_macros.tex,updated,No ?? placeholders
generate_gkt_epoch_ablation.py,scripts/generate_gkt_epoch_ablation.py,updated,Macro placeholders
build_submission_APIN_flat.py,scripts/build_submission_APIN_flat.py,added,Flat packager
submission_APIN_flat/,paper/submission_APIN_flat/,created,Self-contained APIN LaTeX package + PDF
